song_key,title,artist,Brazil,France,Germany,India,Indonesia,Japan,Korea,Malaysia,Overall,Singapore,South Africa,Taiwan,Thailand,United Kingdom,United States,appear_country_count,tie_up_type
KICK BACK / 米津玄師,KICK BACK,米津玄師,10.0,7.0,10.0,15.0,51.0,63.0,15.0,49.0,9.0,27.0,9.0,59.0,44.0,2.0,3.0,15,Anime
アイドル / YOASOBI,アイドル,YOASOBI,16.0,3.0,6.0,7.0,6.0,4.0,5.0,4.0,2.0,1.0,10.0,5.0,6.0,6.0,7.0,15,Anime
勇者 / YOASOBI,勇者,YOASOBI,52.0,37.0,36.0,45.0,43.0,14.0,32.0,33.0,21.0,11.0,88.0,13.0,20.0,30.0,32.0,15,Anime
唱 / Ado,唱,Ado,53.0,14.0,11.0,76.0,97.0,5.0,38.0,43.0,19.0,17.0,38.0,37.0,38.0,21.0,24.0,15,CM
Bling-Bang-Bang-Born / Creepy Nuts,Bling-Bang-Bang-Born,Creepy Nuts,1.0,1.0,4.0,4.0,20.0,1.0,17.0,12.0,1.0,4.0,1.0,29.0,7.0,1.0,1.0,15,Anime
オトノケ / Creepy Nuts,オトノケ,Creepy Nuts,4.0,2.0,2.0,12.0,23.0,32.0,100.0,21.0,6.0,24.0,3.0,21.0,22.0,4.0,2.0,15,Anime
インフェルノ / Mrs.GREEN APPLE,インフェルノ,Mrs.GREEN APPLE,30.0,21.0,25.0,38.0,33.0,27.0,21.0,35.0,26.0,36.0,27.0,60.0,49.0,27.0,26.0,15,Anime
Overdose / なとり,Overdose,なとり,87.0,64.0,58.0,26.0,31.0,98.0,22.0,27.0,31.0,28.0,75.0,25.0,8.0,70.0,57.0,15,None
SPECIALZ / King Gnu,SPECIALZ,King Gnu,3.0,4.0,12.0,6.0,71.0,12.0,24.0,45.0,3.0,8.0,8.0,41.0,12.0,3.0,5.0,15,Anime
怪物 / YOASOBI,怪物,YOASOBI,38.0,23.0,20.0,31.0,27.0,89.0,29.0,18.0,16.0,9.0,37.0,12.0,24.0,23.0,22.0,15,Anime
青のすみか / キタニタツヤ,青のすみか,キタニタツヤ,14.0,10.0,23.0,17.0,44.0,20.0,16.0,30.0,11.0,6.0,16.0,31.0,10.0,7.0,10.0,15,Anime
夜に駆ける / YOASOBI,夜に駆ける,YOASOBI,35.0,9.0,24.0,9.0,2.0,52.0,10.0,2.0,8.0,2.0,23.0,6.0,21.0,14.0,13.0,15,None
